Job Title,Company Name,Location,Skills,Years of Experience,Education,Job Type,Salary
Data Scientist,DTN,Remote,"Machine Learning, Pandas, Analytics, Software development, Research, Github, NumPy, AI, Python",2,Not Specified,Full-time,94;500 - 115;500 a year
Data Scientist,Generac Power Systems,Pewaukee; WI 53188,"Power BI, Data Visualization, Computer Science, Machine Learning, R, Azure, Analytics, Sales, Statistical Analysis, Statistics, Data Analytics, SQL, Python",3,Master; Bachelor,Full-time,Not specified
Data Scientist,Big Lots,Columbus; OH 43081  (Albany Commons area),"Data Mining, Computer Science, Data Structures, R, Analytics, Sales, Statistics, Data Warehouse, Marketing, Data Analytics, SQL, Quantitative analysis, Python",Not specified,Master; Bachelor,Full-time,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Data Scientist,Microsoft,Atlanta; GA,"Data Mining, Forecasting, Computer Science, APIs, Machine Learning, Pandas, R, Java, Cloud Computing, Azure, Statistics, Research, NumPy, SQL, Quantitative analysis, Python",2,Doctorate; Master; Bachelor,Full-time,98;300 - 193;200 a year
Data Scientist,ePATHUSA Inc,Seattle; WA 98198,"Data Visualization, Computer Science, R, Statistics, Regression Analysis, SQL, A/B Testing, Python",3,Bachelor,Not specified,Not specified
Shortage Data Scientist I,Burlington Stores,Hybrid work in Burlington; NJ 08016,"Forecasting, Leadership, R, Analytics, Tableau, Data Visualization, Python, Excel",5,Bachelor,Full-time,80;000 - 105;000 a year
Data Scientist,Realign LLC,Bentonville; AR,"Data Mining, Power BI, Data Visualization, Computer Science, Machine Learning, R, Tableau, Statistics, Machine Learning Algorithms, SQL, Python",Not specified,Master; Bachelor,Full-time,Not specified
Data Scientist,eHealth,Remote,"Git, TensorFlow, Spark, Computer Science, MongoDB, Machine Learning, Scripting, Snowflake, Scikit-learn, PyTorch, NoSQL, Statistics, Github, SQL, Unix, Python, Distributed Systems",2,Bachelor,Full-time,92;400 - 115;500 a year
Data Scientist,US National Institutes of Health,Remote,"Data Mining, Computer Science, Machine Learning, R, MATLAB, Big Data, Tableau, Statistics, Data Visualization, AI, Python",Not specified,Bachelor,Full-time,139;395 - 181;216 a year
Associate Data Scientist,Northwell Health,Lake Success; NY 11020,"Data Analysis, Natural Language Processing, Leadership, Machine Learning, Data Structures, Agile, Analytics, Data Analytics, SQL, Python, Data Engineering",1,Bachelor,Full-time,66;220 - 108;180 a year
Data Scientist; Provider Selection Methodology,CVS Health,Hybrid work in New York; NY,"Data Visualization, Spark, Computer Science, Machine Learning, Azure, Cloud Computing, Analytics, Statistics, Machine Learning Algorithms, AWS, SQL, Python",1,Master; Bachelor,Full-time,82;915 - 175;100 a year
Senior Data Scientist; Risk Analytics,Extend,Remote,"Forecasting, Leadership, R, Analytics, Statistics, SQL, Python",4,Bachelor,Not specified,125;000 - 140;000 a year
Sr Azure Data Analyst,Intone Networks,Remote,Azure,Not specified,Not Specified,Not specified,Not specified
Data Scientist- Remote,Sharecare,Remote,"Data Mining, Data Analysis, Computer Science, R, Sales, Statistics, SAS, Research, Marketing, Leadership, A/B Testing, Python",4,Master,Full-time,Not specified
Data Scientist I (US),TD Bank,Remote in New York; NY,"Git, Data Mining, Machine Learning, R, Big Data, Research, SAS, Marketing, Data Analysis, Spark, Azure, Github, Machine Learning Algorithms, SQL, Banking, Python, Forecasting, Hadoop, Analytics, Statistics, Financial Services, Go, Leadership, Risk Management, Excel, Google Cloud, Java, AWS",5,Master; Bachelor,Full-time,76;128 - 124;800 a year
Associate Data Scientist,VNS Health,Manhattan; NY,"Forecasting, R, MATLAB, Statistical Software, Statistical Analysis, Statistics, SAS, SQL, Python, Julia",Not specified,Master,Full-time,85;000 - 106;300 a year
Data Analyst; Senior,Booz Allen,McLean; VA,"Data Mining, Power BI, Data Analysis, Tableau, Research, Leadership, AI, Quantitative analysis, Python",6,Bachelor,Full-time,75;600 - 172;000 a year
Sr Data Scientist,HNTB Corporation,Tallahassee; FL 32395,"Spark, Computer Science, Machine Learning, Hadoop, R, Analytics, Big Data, Statistics, Machine Learning Algorithms, SQL, Python",13,Master; Bachelor,Full-time,Not specified
Sr. Data Analyst,Goodwill Industries of Middle TN,Nashville; TN,"Power BI, Data Visualization, Forecasting, Data Analysis, Computer Science, Project Management, Analytics, Tableau, Statistics, Data Warehouse, Data Analytics, SQL",7,Master; Bachelor,Full-time,Not specified
Data Scientist,Royal Caribbean Group,Miami; FL 33132  (Port of Miami - Dodge Island area),"Data Mining, Machine Learning, R, Keras, Scala, SAS, Research, Marketing, Data Analysis, Spark, Scripting, Agile, Azure, Statistical Analysis, Software development, SQL, Deep Learning, AI, Python, Forecasting, APIs, Hadoop, MATLAB, Cloud Computing, Analytics, AWS, Statistics, Go, Data Analytics, TensorFlow, Natural Language Processing, Computer Science, Computer Vision, Java, Pig",5,Doctorate; Master,Full-time,Not specified
Sr. Data Scientist,CVS Health,Remote in Woonsocket; RI,"Git, Data Mining, Natural Language Processing, Computer Science, Machine Learning, R, Statistical Software, Analytics, Statistics, Data Analytics",Not specified,Master,Full-time,98;717 - 196;000 a year
Sr Data Scientist,Fanatics Inc.,Los Angeles; CA,"Data Mining, Presentation Skills, Machine Learning, R, PyTorch, Research, Marketing, Spark, Machine Learning Algorithms, SQL, Deep Learning, AI, Python, Data Engineering, Cloud Computing, MLOps, Statistics, Data Visualization, Computer Science",4,Doctorate; Master,Full-time,152;000 - 190;000 a year
Data Scientist (Expert) - Data & Analytics - IT - CS - US,Bayer,Creve Coeur; MO,"R, Java, Analytics, Statistical Analysis, Scala, Research, SQL, Python",2,Doctorate,Not specified,Not specified
Senior Data Scientist,Northeastern University,Portland; ME 04101  (Downtown area),"Git, Machine Learning, R, PyTorch, Research, Spark, Agile, SQL, Deep Learning, AI, Python, Linux, Forecasting, Hypothesis testing, Statistics, TensorFlow, Computer Science, Computer Vision, Java",Not specified,Doctorate; Master,Full-time,Not specified
Senior Data Scientist,Warner Bros. Discovery,Burbank; CA 91505,"Forecasting, Leadership, Machine Learning, R, Statistics, Research, Marketing, SQL, Python, Excel",4,Doctorate; Master,Not specified,119;700 - 222;300 a year
Data Scientist,CVS Health,Remote in New York; NY,"Data Mining, Machine Learning, R, Statistical Software, PyTorch, Big Data, Tableau, Research, Spark, Azure, Statistical Analysis, SQL, Hadoop, Analytics, Statistics, Natural Language Processing, Computer Science, Scikit-learn, AWS",Not specified,Master,Full-time,108;306 - 170;000 a year
Sr. Data Scientist,CVS Health,Hartford; CT,"Data Mining, Machine Learning, R, Statistical Software, PyTorch, Big Data, Tableau, Research, SAS, Marketing, Data Analysis, Spark, Azure, Statistical Analysis, Data Warehouse, SQL, Python, Hadoop, Analytics, AWS, NoSQL, Statistics, Natural Language Processing, Computer Science, HBase, Scikit-learn, Kafka, Pig",Not specified,Master,Full-time,94;500 - 196;000 a year
Senior Data Scientist,Hewlett Packard,Palo Alto; CA 94304,"Data Mining, TensorFlow, Computer Science, Machine Learning, Azure, Analytics, PyTorch, Software development, Statistics, Deep Learning, AWS, Data Analytics, Leadership, AI, Python",10,Not Specified,Not specified,143;850 - 221;550 a year
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,"Computer Science, Leadership, Machine Learning, R, Analytics, Statistical Analysis, Big Data, Statistics, SAS, Tableau, SPSS, SQL, AI, Python",Not specified,Bachelor,Not specified,Not specified
Senior Data Analyst,Fanatics Inc.,Miramar; FL 33027,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,CVS Health,Remote in New York; NY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,CVS Health,Remote in New York; NY,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,BASF Corporation,Charlotte; NC 28273  (Olde Whitehall area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,CVS Health,New York; NY,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,CVS Health,New York; NY,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,CVS Health,Remote in New York; NY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist; Confluence,Atlassian,Remote in San Francisco; CA 94104,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Featurespace,Atlanta; GA,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,CVS Health,Hybrid work in Woonsocket; RI,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Northeastern University,Portland; ME 04101  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,PRA Group,Hybrid work in Norfolk; VA 23502,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Pluralsight,Remote,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,PPG,Pittsburgh; PA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,State of Indiana,Indianapolis; IN 46204  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Oklahoma City Thunder,Oklahoma City; OK 73114,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Xometry Inc,Lexington; KY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Sony Electronics,Reston; VA,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Cadent,San Jose; CA 95113  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Analyst; Senior,Booz Allen,Arlington; VA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist Bioinformatics,MD Anderson Cancer Center,Hybrid work in Houston; TX 77030,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,CVS Health,Hybrid work in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Warner Bros. Discovery,Burbank; CA 91505,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Hewlett Packard,Spring; TX 77389,,Not specified,Not Specified,Not specified,Not specified
Sr Data Analyst - Remote,Optum,Remote in Eden Prairie; MN 55343,,Not specified,Not Specified,Not specified,Not specified
Senior; Data Scientist,Macy’s,Hybrid work in Johns Creek; GA 30097,,Not specified,Not Specified,Not specified,Not specified
Sr Data Analyst,Honeywell,Hybrid work in Kansas City; MO 64114,,Not specified,Not Specified,Not specified,Not specified
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Zynga,San Francisco Bay Area; CA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Valley National Bank,Morristown; NJ 07960,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Federal Reserve Bank of Dallas,Hybrid work in Dallas; TX 75201,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Zynga,San Francisco Bay Area; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,University of California San Francisco,San Francisco; CA 94143  (Inner Sunset area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Hewlett Packard,Palo Alto; CA 94304,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Takeda Pharmaceutical,Boston; MA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,CVS Health,Hybrid work in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Skyworks,Irvine; CA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Office of Statewide Pretrial Services,Springfield; IL,,Not specified,Not Specified,Not specified,Not specified
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Providence,Remote in Renton; WA 98057,,Not specified,Not Specified,Not specified,Not specified
Data Scientist - Enterprise Analytics,HealthFirst,New York; NY 10007  (Tribeca area),,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,The Iowa Clinic,West Des Moines; IA 50266,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,Adobe,San Jose; CA 95110  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist or Data Scientist Senior,Marshfield Clinic Health System,Marshfield; WI 54449,,Not specified,Not Specified,Not specified,Not specified
Senior; Data Scientist,Macy’s,Hybrid work in Johns Creek; GA 30097,,Not specified,Not Specified,Not specified,Not specified
Data Scientist I,Magnite,Boston; MA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Spotify,New York; NY,"Data Analysis, R, Analytics, Tableau, Scala, Matplotlib, Research, SQL, A/B Testing, Python",3,Not Specified,Not specified,107;766 - 153;951 a year
Senior Data Scientist,Navy Federal Credit Union,Pensacola; FL 32526,"Forecasting, Data Analysis, Leadership, Data Structures, R, Analytics, Statistical Analysis, Big Data, Statistics, Tableau, Data Warehouse, Research, Financial Services, SQL, Python",Not specified,Master,Not specified,97;500 - 173;675 a year
Data Scientist,Design Interactive,Orlando; FL 32817,"Machine Learning, R, Tableau, Research, Scripting, Azure, Software development, SQL, AI, Python, Docker, APIs, Hypothesis testing, Project Management, Statistics, Go, Data Visualization, Leadership, Computer Science, Computer Vision, Java",8,Doctorate; Master,Not specified,85;000 - 100;000 a year
Data Scientist,Lockton; Inc.,Dallas; TX,"Data Mining, Forecasting, Computer Science, APIs, Machine Learning, R, Agile, Analytics, Big Data, Software development, Statistics, SAS, Data Warehouse, Research, Data Analytics, SQL, Python, Excel",2,Master; Bachelor,Full-time,Not specified
Data Scientist,JARB Management Inc,Clearwater; FL,"Power BI, Data Visualization, Computer Science, Pandas, Data Structures, Analytics, NumPy, SQL, Python, Data Engineering",Not specified,Not Specified,Full-time,Not specified
Senior Data Analyst,Vanderbilt University,Hybrid work in Nashville; TN 37232,"Data Analysis, R, Project Management, Analytics, Tableau, Statistics, Research, Data Warehouse, Go, Data Visualization",Not specified,Master,Full-time,Not specified
Sr. Data Analyst - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,"Git, Forecasting, Machine Learning, R, Agile, Analytics, JSON, SQL, AI, Python",3,Master,Full-time,88;000 - 173;200 a year
Senior Data Analyst,JLL,Boulder; CO,"Google Cloud, Data Visualization, Data Analysis, Spark, Computer Science, R, Analytics, Statistics, Data Warehouse, SQL, Python, Excel",3,Bachelor,Not specified,130;000 - 170;000 a year
Sr. Data Scientist,Mass General Brigham,Somerville; MA 02145  (Assembly Square area),"Data Mining, Machine Learning, R, Research, SAS, Data Analysis, Statistical Analysis, SPSS, Machine Learning Algorithms, SQL, Data Structures, Python, MATLAB, Analytics, Statistics, Data Analytics, Natural Language Processing, Computer Science, Java",7,Doctorate; Master,Full-time,Not specified
Senior Data Scientist,Aurora Innovation,Mountain View; CA,"Forecasting, Computer Science, PyTorch, Big Data, AWS, Statistics, Research, NumPy, SQL, Python, Data Engineering",4,Doctorate,Not specified,168;000 - 252;000 a year
Data Scientist; Provider Selection Methodology,CVS Health,Hybrid work in New York; NY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,BI USA,Hybrid work in Ridgefield; CT 06877,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Copeland,Sidney; OH,,Not specified,Not Specified,Not specified,Not specified
Corporate Analytics Data Scientist,Hawaii Medical Service Association,Hybrid work in Honolulu; HI 96814,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,CVS Health,Chicago; IL,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist - Demand Forecasting,Target,Minneapolis; MN 55445,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Support,Afterpay,Remote in San Francisco; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist II,Warner Bros. Discovery,Culver City; CA 90232,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,Bloomberg BNA,Arlington; VA 22202  (Aurora Highlands area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist I/II,Fred Hutchinson Cancer Center,Seattle; WA 98102  (South Lake Union area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Bonterra Tech,Remote,,Not specified,Not Specified,Not specified,Not specified
Senior Healthcare Data Analyst (HEDIS),Sentara Healthcare,Glen Allen; VA 23060,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,AstraZeneca,Mount Vernon; IN 47620,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Payer Analytics,CVS Health,Remote in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Data Scientist Senior,Elevance Health,Hybrid work in Arlington; VA 22201,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Navy Federal Credit Union,Pensacola; FL 32526,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,JARB Management Inc,Clearwater; FL,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Adobe,Seattle; WA 98103  (Fremont area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Hewlett Packard,Palo Alto; CA 94304,,Not specified,Not Specified,Not specified,Not specified
DATA SCIENTIST,University of Washington,Seattle; WA 98195  (University District area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Office of Statewide Pretrial Services,Springfield; IL,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,U-Haul,Phoenix; AZ 85004  (Encanto area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,The Mosaic Company,Tampa; FL,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,CEDENT,Atlanta; GA,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,The Iowa Clinic,West Des Moines; IA 50266,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Hearth,New York; NY  (Chelsea area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Vertiv Group Corp,Westerville; OH,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,HCSC,Chicago; IL,,Not specified,Not Specified,Not specified,Not specified
Principal Data Scientist - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Thousand Oaks; CA,Amgen,Remote in Thousand Oaks; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Zynex Medical,Englewood; CO 80112,,Not specified,Not Specified,Not specified,Not specified
